# V_set	V_set_0	I	V_0	V_1	t
# "V_appl"	"V_appl"	"I_meas"	"V_appl"	"V_appl"	"Elapsed time"
# 201	201
0.15	-0.66	0.00015	0.15	0	127.280520004
0.15	-0.65	0.00015	0.15	0	127.282396014
0.15	-0.64	0.00015	0.15	0	127.284248073
0.15	-0.63	0.00015	0.15	0	127.286106643
0.15	-0.62	0.00015	0.15	0	127.288007968
0.15	-0.61	0.00015	0.15	0	127.289869837
0.15	-0.6	0.00015	0.15	0	127.291723751
0.15	-0.59	0.00015	0.15	0	127.293448552
0.15	-0.58	0.00015	0.15	0	127.295207954
0.15	-0.57	0.00015	0.15	0	127.297634035
0.15	-0.56	0.00015	0.15	0	127.299367089
0.15	-0.55	0.00015	0.15	0	127.301096067
0.15	-0.54	0.00015	0.15	0	127.302820079
0.15	-0.53	0.00015	0.15	0	127.304467645
0.15	-0.52	0.00015	0.15	0	127.306211376
0.15	-0.51	0.00015	0.15	0	127.307779741
0.15	-0.5	0.00015	0.15	0	127.309500234
0.15	-0.49	0.00015	0.15	0	127.311227004
0.15	-0.48	0.00015	0.15	0	127.312947067
0.15	-0.47	0.00015	0.15	0	127.314692844
0.15	-0.46	0.00015	0.15	0	127.316413926
0.15	-0.45	0.00015	0.15	0	127.318234177
0.15	-0.44	0.00015	0.15	0	127.320032874
0.15	-0.43	0.00015	0.15	0	127.321773787
0.15	-0.42	0.00015	0.15	0	127.323495375
0.15	-0.41	0.00015	0.15	0	127.325307817
0.15	-0.4	0.00015	0.15	0	127.327339484
0.15	-0.39	0.00015	0.15	0	127.328914416
0.15	-0.38	0.00015	0.15	0	127.330657417
0.15	-0.37	0.00015	0.15	0	127.332269924
0.15	-0.36	0.00015	0.15	0	127.333898242
0.15	-0.35	0.00015	0.15	0	127.335673498
0.15	-0.34	0.00015	0.15	0	127.337413005
0.15	-0.33	0.00015	0.15	0	127.339105112
0.15	-0.32	0.00015	0.15	0	127.340799543
0.15	-0.31	0.00015	0.15	0	127.342469821
0.15	-0.3	0.00015	0.15	0	127.344209982
0.15	-0.29	0.00015	0.15	0	127.345992887
0.15	-0.28	0.00015	0.15	0	127.347560443
0.15	-0.27	0.00015	0.15	0	127.348925282
0.15	-0.26	0.00015	0.15	0	127.350288295
0.15	-0.25	0.00015	0.15	0	127.351848789
0.15	-0.24	0.00015	0.15	0	127.353245708
0.15	-0.23	0.00015	0.15	0	127.354762456
0.15	-0.22	0.00015	0.15	0	127.356177802
0.15	-0.21	0.00015	0.15	0	127.357326257
0.15	-0.2	0.00015	0.15	0	127.358698142
0.15	-0.19	0.00015	0.15	0	127.360068781
0.15	-0.18	0.00015	0.15	0	127.361451837
0.15	-0.17	0.00015	0.15	0	127.36288894
0.15	-0.16	0.00015	0.15	0	127.364164828
0.15	-0.15	0.00015	0.15	0	127.365535321
0.15	-0.14	0.00015	0.15	0	127.367003677
0.15	-0.13	0.00015	0.15	0	127.368261835
0.15	-0.12	0.00015	0.15	0	127.369662902
0.15	-0.11	0.00015	0.15	0	127.371046771
0.15	-0.1	0.00015	0.15	0	127.372473358
0.15	-0.09	0.00015	0.15	0	127.373873387
0.15	-0.08	0.00015	0.15	0	127.375246633
0.15	-0.07	0.00015	0.15	0	127.376615556
0.15	-0.0599999999999999	0.00015	0.15	0	127.377998816
0.15	-0.0499999999999999	0.00015	0.15	0	127.379165138
0.15	-0.04	0.00015	0.15	0	127.380623311
0.15	-0.03	0.00015	0.15	0	127.382132362
0.15	-0.02	0.00015	0.15	0	127.383578148
0.15	-0.01	0.00015	0.15	0	127.38494704
0.15	0	0.00015	0.15	0	127.386165977
0.15	0.01	0.00015	0.15	0	127.387651083
0.15	0.02	0.00015	0.15	0	127.389254484
0.15	0.03	0.00015	0.15	0	127.390850989
0.15	0.04	0.00015	0.15	0	127.392451006
0.15	0.05	0.00015	0.15	0	127.394092946
0.15	0.0600000000000001	0.00015	0.15	0	127.395780667
0.15	0.0700000000000001	0.00015	0.15	0	127.397395643
0.15	0.0800000000000001	0.00015	0.15	0	127.39926617
0.15	0.0900000000000001	0.00015	0.15	0	127.401120551
0.15	0.1	0.00015	0.15	0	127.402912272
0.15	0.11	0.00015	0.15	0	127.404671222
0.15	0.12	0.00015	0.15	0	127.406429786
0.15	0.13	0.00015	0.15	0	127.408293046
0.15	0.14	0.00015	0.15	0	127.410378004
0.15	0.15	0.00015	0.15	0	127.412138396
0.15	0.16	0.00015	0.15	0	127.413862976
0.15	0.17	0.00015	0.15	0	127.415707583
0.15	0.18	0.00015	0.15	0	127.417630521
0.15	0.19	0.00015	0.15	0	127.419474999
0.15	0.2	0.00015	0.15	0	127.421343869
0.15	0.21	0.00015	0.15	0	127.423261374
0.15	0.22	0.00015	0.15	0	127.425184809
0.15	0.23	0.00015	0.15	0	127.427055194
0.15	0.24	0.00015	0.15	0	127.428890642
0.15	0.25	0.00015	0.15	0	127.430689729
0.15	0.26	0.00015	0.15	0	127.432557416
0.15	0.27	0.00015	0.15	0	127.434441599
0.15	0.28	0.00015	0.15	0	127.436018132
0.15	0.29	0.00015	0.15	0	127.437576543
0.15	0.3	0.00015	0.15	0	127.438860756
0.15	0.31	0.00015	0.15	0	127.440436721
0.15	0.32	0.00015	0.15	0	127.441989962
0.15	0.33	0.00015	0.15	0	127.443431639
0.15	0.34	0.00015	0.15	0	127.444869406
0.15	0.35	0.00015	0.15	0	127.446289514
0.15	0.36	0.00015	0.15	0	127.447808395
0.15	0.37	0.00015	0.15	0	127.44934743
0.15	0.38	0.00015	0.15	0	127.45090874
0.15	0.39	0.00015	0.15	0	127.45227093
0.15	0.4	0.00015	0.15	0	127.453902419
0.15	0.41	0.00015	0.15	0	127.455528766
0.15	0.42	0.00015	0.15	0	127.457167132
0.15	0.43	0.00015	0.15	0	127.458850552
0.15	0.44	0.00015	0.15	0	127.460576795
0.15	0.45	0.00015	0.15	0	127.462472557
0.15	0.46	0.00015	0.15	0	127.464192612
0.15	0.47	0.00015	0.15	0	127.465980349
0.15	0.48	0.00015	0.15	0	127.467676014
0.15	0.49	0.00015	0.15	0	127.469398437
0.15	0.5	0.00015	0.15	0	127.471112896
0.15	0.51	0.00015	0.15	0	127.472843329
0.15	0.52	0.00015	0.15	0	127.474421463
0.15	0.53	0.00015	0.15	0	127.476106951
0.15	0.54	0.00015	0.15	0	127.477820477
0.15	0.55	0.00015	0.15	0	127.47937041
0.15	0.56	0.00015	0.15	0	127.480963884
0.15	0.57	0.00015	0.15	0	127.482237573
0.15	0.58	0.00015	0.15	0	127.483572941
0.15	0.59	0.00015	0.15	0	127.485169104
0.15	0.6	0.00015	0.15	0	127.486783415
0.15	0.61	0.00015	0.15	0	127.488577792
